cs,POMPE,VSAV,FA,FMOGP,PSE
ANTO,1.0,2.0,0.0,0.0,0.0
ASNI,1.0,1.0,0.0,0.0,0.0
AUBE,1.0,1.0,0.0,0.0,1.0
AULN,0.0,2.0,1.0,0.0,1.0
AUTE,1.0,2.0,0.0,0.0,0.0
BGLR,1.0,1.0,0.0,0.0,1.0
BITC,1.0,2.0,0.0,0.0,1.0
BLAN,1.0,2.0,0.0,0.0,1.0
BLME,1.0,1.0,0.0,0.0,0.0
BOND,1.0,2.0,0.0,0.0,1.0
BOUL,1.0,1.0,0.0,0.0,1.0
BSLT,1.0,2.0,0.0,0.0,0.0
CBVE,1.0,1.0,0.0,0.0,1.0
CHAR,1.0,1.0,0.0,0.0,1.0
CHLY,1.0,2.0,0.0,0.0,1.0
CHOI,1.0,1.0,0.0,0.0,1.0
CHPT,1.0,2.0,1.0,0.0,1.0
CHPY,1.0,1.0,0.0,0.0,1.0
CHTO,1.0,1.0,0.0,0.0,1.0
CLAM,1.0,2.0,0.0,0.0,0.0
CLIC,1.0,1.0,0.0,0.0,1.0
COBE,1.0,1.0,0.0,0.0,1.0
COBI,1.0,1.0,0.0,0.0,1.0
CRET,0.0,1.0,1.0,0.0,1.0
DAUP,1.0,2.0,0.0,0.0,0.0
DRAN,1.0,2.0,0.0,0.0,1.0
GENN,0.0,1.0,1.0,1.0,1.0
GREN,1.0,2.0,0.0,0.0,1.0
ISSY,1.0,1.0,0.0,0.0,0.0
IVRY,1.0,2.0,0.0,0.0,0.0
LACO,1.0,1.0,0.0,0.0,1.0
LAND,1.0,2.0,0.0,0.0,1.0
LEVA,1.0,2.0,0.0,0.0,0.0
MALA,1.0,2.0,0.0,0.0,0.0
MALF,1.0,2.0,0.0,0.0,0.0
MASS,0.0,2.0,1.0,0.0,1.0
MENI,0.0,2.0,1.0,0.0,1.0
MEUD,1.0,1.0,0.0,0.0,0.0
MTGE,1.0,1.0,0.0,0.0,1.0
MTMA,1.0,3.0,0.0,0.0,1.0
MTRL,0.0,2.0,1.0,0.0,1.0
NANT,1.0,1.0,0.0,0.0,1.0
NATI,1.0,2.0,0.0,0.0,0.0
NEUI,1.0,1.0,0.0,0.0,0.0
NOGT,1.0,2.0,0.0,0.0,0.0
NOIS,1.0,1.0,0.0,0.0,1.0
PANT,1.0,1.0,0.0,1.0,1.0
PARM,1.0,2.0,0.0,0.0,1.0
PIER,1.0,2.0,0.0,0.0,0.0
PLAI,1.0,2.0,0.0,0.0,1.0
PLCL,0.0,1.0,1.0,0.0,1.0
POIS,1.0,2.0,0.0,0.0,0.0
PROY,1.0,2.0,0.0,0.0,1.0
PUTX,1.0,2.0,0.0,0.0,0.0
ROUS,1.0,1.0,0.0,0.0,1.0
RUEI,1.0,1.0,0.0,0.0,0.0
RUNG,0.0,0.0,1.0,0.0,1.0
SEVI,1.0,1.0,0.0,0.0,1.0
STCL,1.0,1.0,0.0,0.0,0.0
STDE,0.0,2.0,1.0,0.0,1.0
STHO,1.0,1.0,0.0,0.0,0.0
STMR,1.0,1.0,0.0,0.0,1.0
STOU,1.0,1.0,0.0,0.0,1.0
SUCY,1.0,1.0,0.0,0.0,0.0
TREM,1.0,1.0,0.0,0.0,0.0
VIJF,1.0,2.0,0.0,1.0,0.0
VILC,0.0,0.0,0.0,0.0,1.0
VIMB,1.0,1.0,0.0,0.0,1.0
VINC,1.0,2.0,0.0,0.0,0.0
VISG,1.0,1.0,0.0,0.0,1.0
VITR,1.0,1.0,0.0,0.0,1.0